down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,go_for_it
4.0,6,62.0,2131.0,-7.0,2,0
4.0,1,67.0,2047.0,7.0,2,0
4.0,8,18.0,1836.0,7.0,2,0
4.0,5,79.0,1709.0,-10.0,3,0
4.0,1,62.0,1620.0,10.0,3,0
4.0,15,79.0,1507.0,-10.0,3,0
4.0,6,44.0,1375.0,10.0,3,0
4.0,15,20.0,745.0,16.0,4,0
4.0,5,67.0,701.0,-16.0,4,0
4.0,5,31.0,458.0,16.0,4,0
4.0,4,15.0,250.0,-19.0,4,1
4.0,4,65.0,3467.0,0.0,1,0
4.0,2,66.0,3337.0,0.0,1,0
4.0,6,19.0,3034.0,0.0,1,0
4.0,4,86.0,2936.0,-3.0,1,0
4.0,18,32.0,2788.0,3.0,1,0
4.0,8,26.0,2648.0,-6.0,2,0
4.0,2,51.0,2431.0,3.0,2,0
4.0,7,86.0,2311.0,-3.0,2,0
4.0,1,64.0,2228.0,3.0,2,0
4.0,7,74.0,2136.0,-3.0,2,0
4.0,6,76.0,1719.0,7.0,3,0
4.0,10,55.0,1538.0,-7.0,3,0
4.0,5,75.0,1408.0,7.0,3,0
4.0,15,87.0,1106.0,0.0,3,0
4.0,9,25.0,897.0,0.0,4,0
4.0,5,66.0,342.0,-4.0,4,0
4.0,11,99.0,206.0,4.0,4,0
4.0,5,33.0,115.0,-4.0,4,1
4.0,4,61.0,56.0,4.0,4,0
4.0,9,79.0,3476.0,0.0,1,0
4.0,3,63.0,3403.0,0.0,1,0
4.0,12,59.0,3199.0,0.0,1,0
4.0,7,35.0,3104.0,0.0,1,0
4.0,11,19.0,2525.0,0.0,2,0
4.0,22,86.0,2062.0,-7.0,2,0
4.0,1,53.0,1642.0,14.0,3,0
4.0,10,60.0,1451.0,-14.0,3,0
4.0,9,79.0,1144.0,-21.0,3,0
4.0,6,60.0,907.0,-28.0,3,0
4.0,8,44.0,571.0,28.0,4,0
4.0,15,85.0,486.0,-28.0,4,0
4.0,3,56.0,271.0,28.0,4,0
4.0,7,7.0,130.0,-28.0,4,1
4.0,2,84.0,99.0,28.0,4,0
4.0,1,11.0,3165.0,0.0,1,0
4.0,11,38.0,3004.0,-3.0,1,0
4.0,1,3.0,2700.0,3.0,2,1
4.0,7,94.0,2609.0,-3.0,2,0
4.0,8,8.0,1833.0,-16.0,2,1
4.0,2,43.0,1502.0,-9.0,3,0
4.0,6,77.0,1363.0,9.0,3,0
4.0,10,69.0,1135.0,-9.0,3,0
4.0,8,9.0,956.0,-9.0,3,0
4.0,3,27.0,668.0,6.0,4,0
4.0,5,57.0,570.0,-9.0,4,0
4.0,7,10.0,202.0,9.0,4,0
4.0,8,31.0,3404.0,0.0,1,0
4.0,8,59.0,3354.0,0.0,1,0
4.0,12,60.0,3146.0,0.0,1,0
4.0,5,52.0,2869.0,0.0,1,0
4.0,3,73.0,2770.0,0.0,1,0
4.0,9,58.0,2700.0,0.0,2,0
4.0,3,73.0,2602.0,0.0,2,0
4.0,11,34.0,2302.0,0.0,2,0
4.0,2,61.0,1912.0,-8.0,2,0
4.0,5,84.0,1854.0,8.0,2,0
4.0,14,49.0,1804.0,-8.0,2,1
4.0,1,37.0,1560.0,-8.0,3,1
4.0,19,66.0,1431.0,1.0,3,0
4.0,21,29.0,1135.0,-1.0,3,0
4.0,19,55.0,890.0,-2.0,4,0
4.0,11,74.0,763.0,2.0,4,1
4.0,1,21.0,614.0,-2.0,4,0
4.0,3,3.0,158.0,-1.0,4,0
4.0,1,40.0,3519.0,0.0,1,1
