down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,posteam,play_type,wp,epa,go_for_it
4.0,19,41.0,2341.0,-7.0,2,DAL,punt,0.2972684231333824,-0.2391056819806717,0
4.0,10,39.0,1863.0,-7.0,2,DAL,punt,0.2951416472609976,-1.4893354778188517,0
4.0,1,71.0,1702.0,-14.0,3,DAL,punt,0.0923121382744907,-1.2319418046839974,0
4.0,31,78.0,1662.0,14.0,3,PHI,punt,0.841819665702466,0.0945208759939966,0
4.0,10,39.0,1561.0,-14.0,3,DAL,punt,0.1172432359218788,-0.5829275732651837,0
4.0,3,81.0,1426.0,14.0,3,PHI,punt,0.8548889584117794,1.3348926828923846,0
4.0,19,84.0,1324.0,-14.0,3,DAL,punt,0.0646895193674369,0.6234928052411641,0
4.0,15,25.0,1173.0,14.0,3,PHI,field_goal,0.9214403546456542,0.9835422671036432,0
4.0,11,81.0,1084.0,-17.0,3,DAL,punt,0.0372918589505789,0.1687630862981191,0
4.0,7,33.0,810.0,17.0,4,PHI,field_goal,0.9540724147822744,1.803331611870321,0
4.0,5,46.0,741.0,-20.0,4,DAL,punt,0.03049206921561,-0.3721878180074031,0
4.0,11,68.0,586.0,20.0,4,PHI,punt,0.9672966576215136,0.4866833301101843,0
4.0,5,43.0,352.0,-20.0,4,DAL,pass,0.0155141250239067,2.7072438668993803,1
4.0,8,16.0,142.0,-20.0,4,DAL,pass,0.005132277350023,-2.207273199627408,1
4.0,1,75.0,30.0,20.0,4,PHI,punt,0.9906648663156234,-3.3323232537907908,0
4.0,6,31.0,2961.0,-7.0,1,CHI,field_goal,0.299876671257002,-3.6863350930436782,0
4.0,1,52.0,2867.0,7.0,1,GB,punt,0.7302484753240185,-0.167172190943706,0
4.0,4,66.0,2703.0,-7.0,1,CHI,punt,0.2179538322977514,0.1590735559225637,0
4.0,4,70.0,2637.0,7.0,2,GB,punt,0.6554636480329539,0.8763481589229027,0
4.0,3,67.0,2217.0,7.0,2,GB,punt,0.7026689606986047,0.0398665432281029,0
4.0,8,17.0,1920.0,-7.0,2,CHI,field_goal,0.3461905762754945,0.3625065383336938,0
4.0,3,73.0,1417.0,-11.0,3,CHI,punt,0.1227556065381047,0.7987854486995367,0
4.0,4,42.0,285.0,17.0,4,GB,punt,0.9812453346250468,-0.6828096482416796,0
4.0,6,12.0,75.0,-17.0,4,CHI,field_goal,0.0048749908466452,0.1756453621117422,0
4.0,3,16.0,3237.0,0.0,1,ATL,field_goal,0.5722222602689212,0.3049861347699174,0
4.0,1,71.0,2466.0,-4.0,2,ATL,punt,0.3232999250363143,-0.3288551091939058,0
4.0,8,56.0,1949.0,-4.0,2,ATL,punt,0.3415654108021201,-0.2454321564608387,0
4.0,3,63.0,1617.0,-11.0,3,ATL,punt,0.1339724325249739,1.2266079083320016,0
4.0,3,33.0,1187.0,-18.0,3,ATL,field_goal,0.0632121526164097,1.8044503080848395,0
4.0,7,11.0,1089.0,15.0,3,NO,field_goal,0.9441071442086046,0.1515838295990015,0
4.0,12,12.0,768.0,-18.0,4,ATL,field_goal,0.0677430628891129,0.1730671937592904,0
4.0,2,72.0,688.0,15.0,4,NO,punt,0.914580802281174,-0.0582368212425492,0
4.0,1,9.0,500.0,-21.0,4,ATL,pass,0.028946024318904,-2.5760989682105055,1
4.0,3,83.0,426.0,21.0,4,NO,punt,0.98120614833066,0.7274963280538296,0
4.0,1,67.0,312.0,-21.0,4,ATL,pass,0.0070315770528374,-3.1875682130635865,1
4.0,5,75.0,3543.0,0.0,1,NYJ,punt,0.4155182782420392,0.4813385051814405,0
4.0,9,26.0,3276.0,0.0,1,MIA,field_goal,0.5478128691984551,1.0443256597397763,0
4.0,4,83.0,2921.0,-4.0,1,MIA,punt,0.283670776207944,-0.254604970199551,0
4.0,3,49.0,2827.0,4.0,1,NYJ,punt,0.6204480692638553,0.1077827122062002,0
4.0,10,43.0,2669.0,4.0,2,NYJ,punt,0.6241224053328177,-1.3979576248717174,0
4.0,6,47.0,2524.0,-4.0,2,MIA,punt,0.3622350319962823,-0.8766808611748143,0
4.0,2,13.0,2024.0,4.0,2,NYJ,field_goal,0.6954914044409766,0.1863952440693457,0
4.0,6,76.0,1949.0,-7.0,2,MIA,punt,0.2544426148206655,-0.0203294796803105,0
4.0,11,71.0,1911.0,7.0,2,NYJ,punt,0.7410961953694294,-0.8648302122614704,0
4.0,6,72.0,1675.0,-4.0,3,MIA,punt,0.2872774056910627,1.619499969739494,0
4.0,9,47.0,1385.0,4.0,3,NYJ,punt,0.6285707900708682,0.66210432161634,0
4.0,7,22.0,436.0,3.0,4,MIA,field_goal,0.7159249669749024,0.7329099666953178,0
4.0,1,27.0,157.0,6.0,4,MIA,field_goal,0.9126751418051242,0.9765271779719576,0
4.0,1,57.0,3438.0,0.0,1,BUF,run,0.4823677653275761,2.990544733982861,1
4.0,8,76.0,3300.0,-7.0,1,NE,punt,0.2023662330776052,0.9312493555540704,0
4.0,4,31.0,3087.0,7.0,1,BUF,pass,0.7770377904033782,2.5959873171316223,1
4.0,18,64.0,2944.0,-14.0,1,NE,punt,0.0990527543174287,1.142341111758083,0
4.0,9,52.0,2347.0,14.0,2,BUF,punt,0.8873600889800912,-0.4799426196331084,0
4.0,12,36.0,1948.0,7.0,2,BUF,pass,0.7560555771428107,-2.1644285978232993,1
4.0,9,28.0,1644.0,-7.0,3,NE,field_goal,0.3131636807250682,1.2009179657114106,0
4.0,5,57.0,1424.0,4.0,3,BUF,punt,0.5977348008016491,-0.5273281693810763,0
4.0,2,2.0,1216.0,-4.0,3,NE,field_goal,0.4450208646616467,0.023182929017524,0
4.0,3,73.0,634.0,-14.0,4,BUF,punt,0.0597027772619024,1.396874091309115,0
4.0,4,30.0,3286.0,0.0,1,SF,field_goal,0.5363138185100575,-3.674150851610338,0
4.0,4,74.0,2998.0,-7.0,1,SF,punt,0.2158182494389739,2.495522645321987,0
4.0,13,95.0,2918.0,7.0,1,STL,punt,0.6025791951208394,-0.6454771504374888,0
4.0,22,95.0,2472.0,-7.0,2,STL,punt,0.1728747373399241,1.353704466097988,0
4.0,16,19.0,2238.0,7.0,2,SF,field_goal,0.800806563795706,0.5031955151371044,0
4.0,18,80.0,2133.0,-10.0,2,STL,punt,0.1509238510514209,0.1930041446078707,0
4.0,5,61.0,2041.0,10.0,2,SF,punt,0.806233969163084,-0.0876607959447406,0
4.0,7,77.0,1986.0,-10.0,2,STL,punt,0.1667820476302086,-0.7780716630313047,0
4.0,3,24.0,1865.0,10.0,2,SF,field_goal,0.8665825875755077,0.7956636920643847,0
4.0,2,57.0,1821.0,-13.0,2,STL,punt,0.1345622754963055,-0.4479859532578091,0
4.0,4,58.0,1676.0,-13.0,3,STL,punt,0.1108406671468826,1.415805405692599,0
4.0,16,74.0,1438.0,13.0,3,SF,punt,0.8325953290890521,1.2348575144691385,0
4.0,18,31.0,1209.0,-13.0,3,STL,field_goal,0.1297306583217657,1.5429443961565157,0
4.0,7,14.0,964.0,10.0,3,SF,pass,0.8788254581190943,4.407016447786608,1
4.0,10,30.0,744.0,-17.0,4,STL,field_goal,0.0620879571237023,1.4243926165978782,0
4.0,3,65.0,558.0,14.0,4,SF,punt,0.9147785301880212,1.5989358842707495,0
4.0,15,85.0,225.0,7.0,4,SF,punt,0.7875066170460576,-0.5239547249539016,0
4.0,17,40.0,163.0,-7.0,4,STL,pass,0.1384208853732687,-2.1893178792889683,1
4.0,9,23.0,2155.0,-7.0,2,CAR,field_goal,0.3396048069219572,0.786978742794664,0
4.0,7,25.0,1966.0,4.0,2,NO,field_goal,0.6978808530042295,0.8537518755573927,0
4.0,23,80.0,1654.0,-7.0,3,CAR,punt,0.1752491732319647,0.7692113548703765,0
4.0,7,82.0,1343.0,-14.0,3,CAR,punt,0.0692397220536031,-0.8033321098465227,0
4.0,2,56.0,976.0,-21.0,3,CAR,punt,0.0230204044856856,-1.5934841642622608,0
4.0,5,47.0,577.0,-28.0,4,CAR,punt,0.001151459122579,-1.0851050241358222,0
4.0,6,64.0,393.0,28.0,4,NO,punt,0.9994286709463478,-0.5456853675376028,0
4.0,4,69.0,3506.0,0.0,1,MIN,punt,0.4335889560324866,-0.4869569545329311,0
4.0,7,8.0,3237.0,0.0,1,MIN,field_goal,0.5787783678760905,0.1014422239143755,0
4.0,7,75.0,3173.0,-3.0,1,CHI,punt,0.3287291687864127,1.2173297460215866,0
4.0,11,66.0,3016.0,3.0,1,MIN,punt,0.5371441899361508,1.635827119183837,0
4.0,4,69.0,2535.0,-3.0,2,MIN,punt,0.338949849882911,0.5462342707259873,0
4.0,13,82.0,2451.0,3.0,2,CHI,punt,0.481527312103889,-0.3118664088175915,0
4.0,14,30.0,2149.0,-3.0,2,MIN,field_goal,0.470162870217902,-3.43804827646553,0
4.0,19,71.0,2060.0,3.0,2,CHI,punt,0.5375658092250947,0.5796683376976776,0
4.0,1,8.0,1859.0,-3.0,2,MIN,field_goal,0.5010617581508146,0.1164491635246522,0
4.0,11,81.0,1718.0,0.0,3,CHI,punt,0.3998198234188205,0.9241510753891522,0
4.0,4,74.0,1354.0,0.0,3,MIN,punt,0.4201715008130642,0.9411615917916356,0
4.0,20,66.0,1193.0,0.0,3,CHI,punt,0.4220960650281851,1.0829582298533489,0
4.0,8,66.0,1068.0,0.0,3,MIN,punt,0.4395060963583713,0.2930112881244788,0
4.0,4,9.0,622.0,0.0,4,CHI,field_goal,0.5867446737616014,0.1235039954018626,0
4.0,13,44.0,415.0,-3.0,4,MIN,punt,0.3873090686811933,-0.1584440893689354,0
4.0,13,23.0,315.0,-3.0,4,MIN,run,0.4471978406065048,-3.0058411227750828,1
4.0,8,54.0,123.0,3.0,4,CHI,punt,0.7243100138810686,-0.232879896750428,0
4.0,1,63.0,62.0,-3.0,4,MIN,pass,0.1594519482651587,1.1646527603876953,1
4.0,7,59.0,3404.0,9.0,1,DET,punt,0.7490484977377877,-0.6113864487434322,0
4.0,4,4.0,3058.0,-9.0,1,GB,field_goal,0.3003052403387125,0.0430410533461476,0
4.0,15,59.0,2656.0,-1.0,2,DET,punt,0.4148002839703568,1.6443233202265797,0
4.0,5,90.0,2560.0,1.0,2,GB,punt,0.4240403948153207,0.2678196089266098,0
4.0,3,37.0,2417.0,-1.0,2,DET,pass,0.4907469202966596,2.6331701791738844,1
4.0,6,11.0,2157.0,-1.0,2,DET,field_goal,0.5213330398930592,0.151823912470117,0
4.0,4,21.0,1911.0,-5.0,2,DET,field_goal,0.424542311024211,-3.415623113887128,0
4.0,1,74.0,1518.0,5.0,3,GB,punt,0.6064075316002762,-0.8818693557490642,0
4.0,14,84.0,900.0,-3.0,4,GB,punt,0.2773493671721884,0.5306652926621189,0
4.0,3,31.0,774.0,3.0,4,DET,pass,0.6571682111296437,-3.3997187174683,1
4.0,22,92.0,445.0,-4.0,4,DET,punt,0.2071224184283779,-0.0797038189102941,0
4.0,12,55.0,309.0,4.0,4,GB,punt,0.698938674532418,0.4867237458064326,0
4.0,14,84.0,3522.0,0.0,1,PHI,punt,0.3743608683784325,2.6721539838657185,0
4.0,5,75.0,3435.0,0.0,1,WAS,punt,0.4359674194550321,-1.0379775893265395,0
4.0,9,16.0,3334.0,0.0,1,PHI,field_goal,0.5537488651689394,0.3027935500640271,0
4.0,9,43.0,3121.0,-3.0,1,WAS,punt,0.4380760566723581,-0.8386545634741431,0
4.0,10,62.0,2973.0,3.0,1,PHI,punt,0.5312764224262612,2.0004183463560197,0
4.0,8,70.0,2834.0,-3.0,1,WAS,punt,0.3451409118418067,1.2527261989547267,0
4.0,23,56.0,2622.0,3.0,2,PHI,punt,0.5109456361413501,0.0462268112469517,0
4.0,10,72.0,2455.0,3.0,2,PHI,punt,0.4854474119127964,0.1984368633334361,0
4.0,10,18.0,2178.0,-3.0,2,WAS,field_goal,0.4964842744559156,-4.137088303348337,0
4.0,6,35.0,1848.0,-10.0,2,WAS,pass,0.2161814638350046,-2.3513565723693812,1
4.0,2,2.0,1148.0,3.0,3,PHI,field_goal,0.6931244281284832,0.0233952612207155,0
4.0,6,9.0,807.0,-6.0,4,WAS,field_goal,0.3595143015813843,0.122668052513283,0
4.0,29,84.0,624.0,-10.0,4,WAS,punt,0.0876676056299301,-1.2238716735601485,0
4.0,8,68.0,548.0,-10.0,4,WAS,punt,0.102019093934477,-0.5891483682395116,0
4.0,3,60.0,310.0,-17.0,4,WAS,pass,0.0216488018418103,-2.870285215751588,1
4.0,1,1.0,3189.0,0.0,1,JAC,run,0.6056270427137972,-2.2715990802900254,1
4.0,5,94.0,3096.0,0.0,1,IND,punt,0.3999580133238679,-0.7895148534565548,0
4.0,11,30.0,2525.0,-7.0,2,IND,field_goal,0.2993227492377273,1.422463958884502,0
4.0,1,27.0,2330.0,-4.0,2,IND,run,0.4302560655738529,-3.362759957493215,1
4.0,3,65.0,2273.0,4.0,2,JAC,punt,0.5975859098086773,0.0951076119661813,0
4.0,9,79.0,2160.0,-4.0,2,IND,punt,0.3142105005350069,0.1785322108847213,0
4.0,3,7.0,1866.0,4.0,2,JAC,field_goal,0.729223709382904,0.1014278228540579,0
4.0,2,2.0,1449.0,-7.0,3,IND,field_goal,0.3460460596295853,0.0224829239296546,0
4.0,9,14.0,1358.0,4.0,3,JAC,field_goal,0.7306284503216488,0.2199432034576887,0
4.0,20,29.0,1252.0,7.0,3,JAC,field_goal,0.7916978851423501,1.3196394357707004,0
4.0,13,61.0,1091.0,-10.0,3,IND,punt,0.13145785899983,1.1486817335897437,0
4.0,6,66.0,908.0,10.0,3,JAC,punt,0.8022978791283433,0.3874989795175301,0
4.0,3,21.0,395.0,10.0,4,JAC,field_goal,0.924668603905316,0.6513938269821327,0
4.0,4,45.0,3425.0,0.0,1,TEN,punt,0.5013087695391099,0.0660462695252526,0
4.0,11,81.0,2948.0,-7.0,1,TEN,punt,0.1948164172251703,0.6982047723232805,0
4.0,2,57.0,2860.0,7.0,1,HOU,punt,0.7083600862159051,-1.1159028847187764,0
4.0,3,3.0,2589.0,-7.0,2,TEN,field_goal,0.3575028364715958,0.0337932353835821,0
4.0,14,78.0,2490.0,4.0,2,HOU,punt,0.5144234929922211,-0.5571049880201988,0
4.0,6,50.0,2383.0,-4.0,2,TEN,punt,0.3763877903652571,0.5432063491325398,0
4.0,6,34.0,1874.0,-3.0,2,HOU,field_goal,0.4540612114953776,1.6062562358018044,0
4.0,5,19.0,1610.0,-3.0,3,HOU,field_goal,0.4710505838765288,0.5029089897858037,0
4.0,9,79.0,1528.0,0.0,3,TEN,punt,0.4021750837037143,0.9948778959933008,0
4.0,11,69.0,1462.0,0.0,3,HOU,punt,0.4232301732596889,1.152076609699757,0
4.0,3,15.0,1346.0,0.0,3,TEN,field_goal,0.5733159107737384,0.2585315292068975,0
4.0,3,4.0,900.0,-3.0,4,HOU,field_goal,0.4722985011577948,0.0449114389939611,0
4.0,1,61.0,691.0,0.0,4,TEN,punt,0.4710895571291884,0.1259977533427081,0
4.0,1,78.0,592.0,0.0,4,HOU,punt,0.4321494984457667,-1.2772012434714766,0
4.0,10,57.0,564.0,0.0,4,TEN,punt,0.4601981691083687,1.0532009973447438,0
4.0,1,86.0,433.0,0.0,4,HOU,punt,0.4241743256975736,-0.9549566112944904,0
4.0,20,50.0,185.0,-7.0,4,HOU,punt,0.121395827623863,-0.1846182331039331,0
4.0,15,85.0,3093.0,-7.0,1,TB,punt,0.1898039185707434,0.1482820669267353,0
4.0,1,1.0,2503.0,21.0,2,ATL,run,0.9900913752199212,3.3447154248624287,1
4.0,15,56.0,2267.0,-34.0,2,TB,punt,7.50713540571388e-05,0.2857683547466685,0
4.0,6,65.0,1682.0,-34.0,3,TB,punt,3.1013249678469614e-05,2.5453105128686473,0
4.0,1,67.0,1496.0,34.0,3,ATL,punt,0.9999494196552844,0.0331339245621125,0
4.0,13,23.0,1164.0,-34.0,3,TB,field_goal,0.00021083886731842992,0.8372838353950707,0
4.0,8,66.0,988.0,25.0,3,ATL,punt,0.990400289938344,0.524746328711164,0
4.0,2,90.0,373.0,-19.0,4,TB,pass,0.0113275471711111,-3.311546611078208,1
4.0,2,2.0,242.0,19.0,4,ATL,field_goal,0.9960823108227376,0.0267138224006311,0
4.0,4,58.0,2594.0,0.0,2,OAK,punt,0.4584069751112617,-0.1829340141137874,0
4.0,5,34.0,2184.0,-7.0,2,OAK,field_goal,0.3039336386932449,1.8215925191350093,0
4.0,7,26.0,1944.0,-11.0,2,OAK,field_goal,0.1942200122141829,0.9056051019578932,0
4.0,10,33.0,1851.0,8.0,2,SD,field_goal,0.8074360636766564,1.4659771259328689,0
4.0,8,9.0,1701.0,-11.0,3,OAK,field_goal,0.2217078216474259,0.1134607823757622,0
4.0,12,14.0,982.0,-15.0,3,OAK,field_goal,0.1148318971775268,0.2253616770277369,0
4.0,2,26.0,670.0,12.0,4,SD,field_goal,0.9133058771385402,-3.808410505913127,0
4.0,9,45.0,3383.0,0.0,1,KC,punt,0.4987154912945548,0.0914490002365205,0
4.0,2,81.0,3266.0,0.0,1,DEN,punt,0.4266167767565911,-0.3049721579493556,0
4.0,6,26.0,3155.0,0.0,1,KC,field_goal,0.5515427359675364,-3.722217046804307,0
4.0,9,65.0,3108.0,0.0,1,DEN,punt,0.4517664490448356,1.945655436281558,0
4.0,3,57.0,2167.0,7.0,2,KC,punt,0.7267174102115855,-0.0274249167297613,0
4.0,2,63.0,2070.0,-7.0,2,DEN,punt,0.2548000877558695,-0.0669236234400965,0
4.0,9,81.0,1943.0,7.0,2,KC,punt,0.6897925570213027,0.416183223044454,0
4.0,9,39.0,1831.0,-7.0,2,DEN,punt,0.3058806337616837,-1.5690811631831263,0
4.0,16,54.0,1490.0,-7.0,3,DEN,punt,0.2307091990702766,4.994502420768956,0
4.0,10,20.0,1395.0,-7.0,3,DEN,field_goal,0.3270246723053764,0.5910510020704298,0
4.0,6,55.0,1224.0,4.0,3,KC,punt,0.6035244026396782,0.2869657014176179,0
4.0,6,58.0,1029.0,-4.0,3,DEN,punt,0.3122926739971113,-0.0349273148161131,0
4.0,4,73.0,968.0,4.0,3,KC,punt,0.5568749401025822,1.1896764669893023,0
4.0,15,45.0,635.0,-4.0,4,DEN,punt,0.3400339599560495,0.2997189221604512,0
4.0,7,94.0,519.0,4.0,4,KC,punt,0.5431152161665094,-0.443864258880744,0
4.0,4,43.0,406.0,-4.0,4,DEN,punt,0.3410990232472792,-0.714197499213899,0
4.0,15,54.0,248.0,4.0,4,KC,punt,0.6977142731262383,-0.3002134742228447,0
4.0,7,72.0,157.0,-4.0,4,DEN,punt,0.2027092805020029,-0.5302437817370781,0
4.0,4,57.0,72.0,4.0,4,KC,punt,0.9171369592102688,-0.9446045026302397,0
4.0,2,52.0,19.0,-4.0,4,DEN,pass,0.0221471746764331,-0.5830613198167245,1
4.0,1,71.0,3497.0,0.0,1,CLE,punt,0.446709810104857,-0.479928510433667,0
4.0,3,32.0,3250.0,0.0,1,PIT,pass,0.5415278010740349,-3.2960812970714377,1
4.0,5,63.0,3179.0,0.0,1,CLE,punt,0.4598040093339873,0.6596848412398475,0
4.0,22,52.0,2785.0,0.0,1,PIT,punt,0.4683600058144143,1.227649916464063,0
4.0,8,94.0,2730.0,0.0,1,CLE,punt,0.3796820152198127,-0.4867819461317069,0
4.0,1,22.0,2523.0,0.0,2,PIT,run,0.5484145593177581,1.9467069970319384,1
4.0,18,27.0,2403.0,0.0,2,PIT,field_goal,0.537602595447231,-3.700110511920904,0
4.0,8,8.0,2167.0,0.0,2,CLE,field_goal,0.586838858845041,0.1081709406236983,0
4.0,6,67.0,1991.0,-3.0,2,PIT,punt,0.389302840749205,-0.5316713720454413,0
4.0,10,27.0,1871.0,3.0,2,CLE,field_goal,0.6706741140555188,0.9736910654971318,0
4.0,9,11.0,1487.0,-3.0,3,PIT,field_goal,0.4798446862309665,0.1466408012748989,0
4.0,17,31.0,1024.0,-7.0,3,CLE,field_goal,0.2877757625128564,1.548848569822328,0
4.0,1,70.0,900.0,4.0,4,PIT,punt,0.5855602000652932,0.0816137206582194,0
4.0,8,76.0,840.0,-4.0,4,CLE,punt,0.26348671964177,-0.3849629985784935,0
4.0,12,34.0,615.0,-4.0,4,CLE,punt,0.3983691323600707,-1.6050284988559405,0
4.0,10,51.0,308.0,-4.0,4,CLE,punt,0.3142065820980365,-0.0222661457218737,0
4.0,2,63.0,117.0,4.0,4,PIT,punt,0.8633553249352862,-1.2361992828886064,0
4.0,1,70.0,3378.0,-7.0,1,CIN,punt,0.2432410397041389,0.5055988796229443,0
4.0,4,24.0,3110.0,7.0,1,BAL,field_goal,0.7743388667322076,0.9051367553081752,0
4.0,9,28.0,2887.0,-10.0,1,CIN,field_goal,0.2361457852145639,1.22940345962554,0
4.0,3,70.0,2803.0,7.0,1,BAL,punt,0.6488814961404188,0.5129440539036854,0
4.0,2,18.0,2431.0,-7.0,2,CIN,field_goal,0.3354960197670938,-3.654414198935445,0
4.0,8,60.0,2258.0,7.0,2,BAL,punt,0.6925778028650362,-0.671481709499091,0
4.0,1,62.0,2116.0,-7.0,2,CIN,punt,0.2736326355270306,-0.4341773629851623,0
4.0,8,68.0,1737.0,-14.0,3,CIN,punt,0.0862682652330196,0.5671850099476063,0
4.0,2,53.0,1530.0,14.0,3,BAL,punt,0.8909324580267914,-1.3078271872154836,0
4.0,20,70.0,1391.0,-14.0,3,CIN,punt,0.0757442534133466,2.426167045226257,0
4.0,11,89.0,1235.0,14.0,3,BAL,punt,0.8410974547432765,-0.1005562656963481,0
4.0,10,80.0,993.0,7.0,3,BAL,punt,0.651652439881305,0.1051200065252717,0
4.0,10,28.0,760.0,-7.0,4,CIN,field_goal,0.2855835509421785,1.2252234215164417,0
4.0,4,60.0,630.0,4.0,4,BAL,punt,0.6233499508321351,-0.0957523046738975,0
4.0,4,5.0,164.0,-11.0,4,CIN,field_goal,0.0813222300559213,0.0618193121937005,0
4.0,4,63.0,72.0,8.0,4,BAL,punt,0.9776579369552356,-0.9050650229971212,0
4.0,6,60.0,3509.0,0.0,1,SEA,punt,0.4521802781439463,-0.1308843211113117,0
4.0,3,55.0,3415.0,0.0,1,ARI,punt,0.4767412254667409,1.4925196366437037,0
4.0,2,64.0,3169.0,0.0,1,SEA,punt,0.4675742931491363,0.5055376818471111,0
4.0,15,25.0,2568.0,-7.0,2,SEA,field_goal,0.3385437255346983,0.9851077194447128,0
4.0,13,41.0,2321.0,4.0,2,ARI,punt,0.6164539757573247,-0.7960576854674768,0
4.0,2,80.0,2217.0,-4.0,2,SEA,punt,0.3481001212436861,-2.4687250517242822,0
4.0,23,23.0,2013.0,4.0,2,ARI,field_goal,0.6749279129470691,0.7482037805264685,0
4.0,4,63.0,1881.0,-7.0,2,SEA,punt,0.2656535132742356,-0.9270358437194924,0
4.0,6,76.0,1855.0,7.0,2,ARI,punt,0.7369403522662717,-1.0162922751693428,0
4.0,15,64.0,1653.0,7.0,3,ARI,punt,0.6723116261535743,0.626375830670534,0
4.0,6,6.0,918.0,-7.0,3,SEA,field_goal,0.3275887334876746,-3.490982253520512,0
4.0,5,25.0,743.0,7.0,4,ARI,field_goal,0.8118698912327189,0.9837913912455408,0
4.0,2,72.0,657.0,-10.0,4,SEA,punt,0.1114531639252333,-0.5770575537364429,0
4.0,6,8.0,550.0,-10.0,4,SEA,field_goal,0.1998652807587881,0.1084495016714348,0
4.0,9,78.0,487.0,7.0,4,ARI,punt,0.7071261212277823,-0.2933394967968341,0
4.0,9,56.0,318.0,0.0,4,ARI,punt,0.4781793987996646,-0.3216920077312191,0
4.0,3,59.0,148.0,0.0,4,SEA,punt,0.4909158846147329,-0.123432067857506,0
4.0,3,76.0,119.0,0.0,4,ARI,punt,0.5248087168998526,-0.9993972323217144,0
4.0,8,49.0,35.0,0.0,4,SEA,punt,0.6154747261755857,-0.6272810560502725,0
4.0,11,61.0,847.0,0.0,5,SEA,punt,0.2878879279073043,0.4698637614360335,0
4.0,1,39.0,602.0,0.0,5,ARI,run,0.6212025417326823,2.1515407525069383,1
4.0,4,68.0,3515.0,0.0,1,DAL,punt,0.4353914612178651,2.3880659813380145,0
4.0,1,72.0,3306.0,0.0,1,NYG,punt,0.45293101906605,-0.3425387922464327,0
4.0,10,58.0,3179.0,0.0,1,DAL,punt,0.467658158079586,1.9567026517831123,0
4.0,11,83.0,2881.0,-7.0,1,DAL,punt,0.1891013622632075,1.0346770988806386,0
4.0,15,90.0,2498.0,-14.0,2,DAL,punt,0.0717011162295398,-0.3141490704591354,0
4.0,18,22.0,2261.0,14.0,2,NYG,field_goal,0.9195662834929116,-3.572243430750211,0
4.0,2,42.0,1593.0,21.0,3,NYG,punt,0.9786109394433564,0.0032139040803975,0
4.0,11,70.0,1245.0,14.0,3,NYG,punt,0.864048822783112,0.908053468405168,0
4.0,1,35.0,1049.0,14.0,3,NYG,run,0.9245485912061588,-3.7981660344130224,1
4.0,1,10.0,840.0,-14.0,4,DAL,run,0.1200112555721032,-2.513128037116807,1
4.0,1,81.0,716.0,14.0,4,NYG,punt,0.8954345545568693,-2.7654270390992313,0
4.0,10,10.0,351.0,7.0,4,NYG,field_goal,0.8919443185681971,0.1367435431479817,0
4.0,13,81.0,303.0,-10.0,4,DAL,punt,0.063898367391866,-1.236928355638661,0
4.0,5,79.0,3538.0,0.0,1,NYG,punt,0.4076916407412387,1.6773474260922256,0
4.0,15,81.0,3441.0,0.0,1,DAL,punt,0.3985856150158802,3.1683300051658883,0
4.0,1,37.0,2866.0,0.0,1,DAL,run,0.5332410318687859,-3.744185803950588,1
4.0,14,45.0,2616.0,0.0,2,NYG,punt,0.485310961763244,-1.0896570589388703,0
4.0,4,4.0,2354.0,0.0,2,NYG,field_goal,0.5770072943726992,0.0467113650245476,0
4.0,6,64.0,2128.0,-3.0,2,DAL,punt,0.3794972216112263,0.3937118542010682,0
4.0,8,82.0,2022.0,3.0,2,NYG,punt,0.5458211155761559,0.4593386681081569,0
4.0,15,15.0,945.0,4.0,3,DAL,field_goal,0.7347565738576131,0.2646861589704778,0
4.0,9,61.0,797.0,-7.0,4,NYG,punt,0.1910374209036122,0.4795354361160879,0
4.0,2,29.0,243.0,-14.0,4,NYG,pass,0.0418477060808942,2.239622422622096,1
4.0,1,13.0,185.0,-14.0,4,NYG,run,0.0359003256204975,2.48293182493305,1
4.0,21,95.0,3495.0,0.0,1,CHI,punt,0.3713284722267247,0.6649695054493479,0
4.0,4,44.0,3400.0,0.0,1,IND,punt,0.5050980731101975,0.6273456723530814,0
4.0,4,63.0,2968.0,-1.0,1,IND,punt,0.4468917453549859,0.456141976665728,0
4.0,7,77.0,2909.0,1.0,1,CHI,punt,0.4361019885068941,-0.4368726458040699,0
4.0,1,47.0,2798.0,-1.0,1,IND,punt,0.5044214354712958,-0.0513766766105849,0
4.0,4,17.0,2136.0,8.0,2,CHI,field_goal,0.8110811195256237,0.3554652945287566,0
4.0,9,79.0,1759.0,-11.0,3,IND,punt,0.1139073411652898,0.0300698391352209,0
4.0,6,8.0,1507.0,18.0,3,CHI,field_goal,0.9704150115082028,0.1007282291328661,0
4.0,20,78.0,1066.0,21.0,3,CHI,punt,0.9505092350250758,-0.236835020066163,0
4.0,1,50.0,920.0,21.0,3,CHI,punt,0.9816002276796868,-1.2590281661088316,0
4.0,10,31.0,736.0,-21.0,4,IND,pass,0.0307860103110329,2.753710929867458,1
4.0,19,79.0,301.0,-21.0,4,IND,punt,0.0043073465928244,0.7402260441360702,0
4.0,14,79.0,157.0,21.0,4,CHI,punt,0.9959652090834408,-0.5505917377430429,0
4.0,15,62.0,119.0,-21.0,4,IND,pass,0.001896408295063,2.4511154853606065,1
4.0,7,21.0,2946.0,-7.0,1,KC,field_goal,0.3416583697466063,0.6813617807741235,0
