down,ydstogo,yardline_100,game_seconds_remaining,score_differential,qtr,posteam,play_type,wp,epa,go_for_it
4.0,2,43.0,1802.0,10.0,2,NYJ,pass,0.8464990149294336,-0.5115594088799224,1
4.0,11,76.0,1295.0,-17.0,3,HOU,punt,0.0414796244806553,0.2925879102804476,0
4.0,7,60.0,1227.0,17.0,3,NYJ,punt,0.921686291304592,0.990185808643152,0
4.0,2,51.0,1117.0,-17.0,3,HOU,pass,0.0626121391237129,-3.4364063167914227,1
4.0,4,43.0,962.0,17.0,3,NYJ,punt,0.9470281185677198,-0.576508554034262,0
4.0,23,80.0,879.0,-17.0,4,HOU,punt,0.03140212129793,0.579866584095619,0
4.0,1,29.0,120.0,18.0,4,NYJ,run,0.996758599054512,1.5906732505223515,1
4.0,5,43.0,2968.0,0.0,1,JAC,punt,0.5151284010342505,-0.5229411974874997,0
4.0,6,6.0,2342.0,0.0,2,JAC,field_goal,0.577140054178941,0.0765296726499724,0
4.0,6,28.0,1864.0,-4.0,2,JAC,field_goal,0.4361363455690126,1.0358702270904458,0
4.0,1,54.0,1808.0,1.0,2,IND,pass,0.5500572541784043,-1.201618510425472,1
4.0,6,45.0,1660.0,-1.0,3,JAC,punt,0.4710449304543778,-0.2295860042192721,0
4.0,5,75.0,1239.0,-8.0,3,JAC,punt,0.1665685541166507,-0.0606044994056986,0
4.0,1,54.0,1145.0,8.0,3,IND,punt,0.772121750459856,0.2367282265033017,0
4.0,12,93.0,1088.0,-8.0,3,JAC,punt,0.1361345803206874,-0.7221484601394947,0
4.0,10,34.0,1002.0,8.0,3,IND,field_goal,0.7972867756705717,-3.5221619760857763,0
4.0,2,7.0,672.0,-8.0,4,JAC,run,0.2828520095934347,4.180414996867049,1
4.0,2,44.0,428.0,2.0,4,IND,punt,0.6193989839848046,-0.1511025317910569,0
4.0,1,90.0,325.0,-2.0,4,JAC,punt,0.3333739077364107,-0.0412657537988503,0
4.0,1,35.0,126.0,2.0,4,IND,run,0.745867313625675,-2.5161218815833073,1
4.0,8,63.0,83.0,-2.0,4,JAC,pass,0.3103253357519527,-0.2265425768704611,1
4.0,9,57.0,3471.0,0.0,1,DEN,punt,0.4596403309583355,1.2432333870901997,0
4.0,10,47.0,3228.0,0.0,1,CIN,punt,0.4978942661410219,-0.2743772735530461,0
4.0,5,79.0,3143.0,0.0,1,DEN,punt,0.4244072619950344,-0.7242369702363578,0
4.0,2,42.0,3016.0,0.0,1,CIN,run,0.5256840193808139,2.7127268283371957,1
4.0,2,10.0,2811.0,0.0,1,CIN,run,0.5642775063712714,-5.423455828994673,1
4.0,11,57.0,2717.0,0.0,1,DEN,punt,0.4538594610596329,-1.037454119477916,0
4.0,14,38.0,2622.0,0.0,2,CIN,punt,0.4883650669694179,-1.353920545449241,0
4.0,6,80.0,2530.0,0.0,2,DEN,punt,0.423677050306983,0.3433346061170597,0
4.0,2,72.0,2119.0,0.0,2,DEN,punt,0.4876031249670349,-0.5314848048965228,0
4.0,4,49.0,1915.0,0.0,2,CIN,punt,0.5293395692167008,-1.432394960892709,0
4.0,7,63.0,1668.0,-3.0,3,CIN,punt,0.3453962082264218,1.531943513515406,0
4.0,7,83.0,1515.0,3.0,3,DEN,punt,0.4943958244229723,-0.6045577922232872,0
4.0,20,55.0,1413.0,-3.0,3,CIN,punt,0.3593801721823911,1.7194923965516942,0
4.0,7,61.0,1163.0,3.0,3,DEN,punt,0.5462642540385698,0.7454680501236945,0
4.0,1,74.0,1061.0,-3.0,3,CIN,punt,0.3285313791162285,-0.6346888267426236,0
4.0,5,32.0,919.0,3.0,3,DEN,field_goal,0.6333577240536525,1.6735539179901049,0
4.0,2,77.0,812.0,-6.0,4,CIN,punt,0.2031917504467815,-0.3505380365995507,0
4.0,23,42.0,389.0,6.0,4,DEN,punt,0.7915035765741983,-0.4692112711526771,0
4.0,1,2.0,3195.0,0.0,1,CAR,run,0.5671905803841977,3.5175871883307925,1
4.0,2,47.0,2923.0,-7.0,1,PHI,punt,0.3096221007687725,-1.6696715965029347,0
4.0,9,31.0,2753.0,-7.0,1,PHI,field_goal,0.3231602666071989,1.5491215199045414,0
4.0,15,72.0,2474.0,-2.0,2,CAR,punt,0.3281170946281326,-5.239611970823713,0
4.0,11,66.0,2276.0,-15.0,2,CAR,punt,0.0787738667315646,0.0390827793623509,0
4.0,4,4.0,1905.0,-22.0,2,CAR,field_goal,0.0541125171385279,0.0546392797353192,0
4.0,7,52.0,1830.0,19.0,2,PHI,punt,0.9574748553702128,-0.5224340875269775,0
4.0,5,56.0,1178.0,26.0,3,PHI,punt,0.9955637773042928,-1.3023147049485069,0
4.0,8,54.0,1089.0,-26.0,3,CAR,punt,0.003849534874262,-0.2056436223751074,0
4.0,26,51.0,831.0,-26.0,4,CAR,punt,0.0033401899778844,-0.4284011011903521,0
4.0,6,76.0,732.0,26.0,4,PHI,punt,0.9937783602854408,-0.0618292890501337,0
4.0,3,35.0,644.0,26.0,4,PHI,pass,0.9990109219079412,2.517111873065385,1
4.0,14,33.0,477.0,26.0,4,PHI,field_goal,0.9991933206576248,-3.4276652989946426,0
4.0,1,38.0,264.0,26.0,4,PHI,pass,0.9996754292292744,-3.436960929070289,1
4.0,1,27.0,120.0,-26.0,4,CAR,pass,0.0006064631467544287,1.8910700716165847,1
4.0,1,1.0,39.0,-26.0,4,CAR,run,0.0058406393746243,-2.779128195360802,1
4.0,9,73.0,3527.0,0.0,1,KC,punt,0.4150300948169265,1.8511875577632877,0
4.0,12,26.0,3323.0,0.0,1,BAL,field_goal,0.5307138913023315,1.041741798160876,0
4.0,15,80.0,3240.0,-3.0,1,KC,punt,0.3193066981757207,1.338098969917115,0
4.0,1,75.0,2755.0,-10.0,1,KC,punt,0.158930100439603,1.7796244314889271,0
4.0,3,85.0,2610.0,10.0,2,BAL,punt,0.7188351587697239,0.7880998634194056,0
